decision,sku_id,sku_name,category_name,subcategory_name,inventory_capital,inventory_units,unit_cost,unit_price,unit_margin,units_12m,revenue_12m,inventory_return_12m,inventory_roic,days_inventory,top_capital_flag
HOLD,822,"ML Road Frame-W - Yellow, 38",Components,Road Frames,287310.4688,796.0,360.9428,356.898,-4.044799999999952,356.0,127055.688,-1439.948799999983,-0.005011821553228356,0.0,True
EXIT,771,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,284911.0056,149.0,1912.1544,,,,,,,0.0,True
EXIT,777,"Mountain-100 Black, 44",Bikes,Mountain Bikes,282816.0656,149.0,1898.0944,,,,,,,0.0,True
INVEST,780,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,282233.1485,223.0,1265.6195,1712.870208,447.25070800000003,1053.0,1803652.329603,470954.995524,1.6686735701564837,0.0,True
HOLD,790,"Road-250 Red, 48",Bikes,Road Bikes,280975.484,185.0,1518.7864,1759.212,240.42560000000003,3.0,5277.636,721.2768000000001,0.002567045315597713,0.0,True
EXIT,752,"Road-150 Red, 52",Bikes,Road Bikes,277925.6576,128.0,2171.2942,,,,,,,0.0,True
INVEST,966,"Touring-1000 Blue, 46",Bikes,Touring Bikes,274158.51149999996,185.0,1481.9379,1593.054616,111.116716,939.0,1495878.284511,104338.596324,0.3805776291720201,0.0,True
HOLD,794,"Road-250 Black, 48",Bikes,Road Bikes,256566.4035,165.0,1554.9479,1681.510434,126.56253400000014,644.0,1082892.72,81506.2718960001,0.31768100103566405,0.0,True
EXIT,789,"Road-250 Red, 44",Bikes,Road Bikes,247562.1832,163.0,1518.7864,,,,,,,0.0,True
HOLD,976,"Road-350-W Yellow, 48",Bikes,Road Bikes,245729.77,227.0,1082.51,1099.916262,17.40626199999997,1488.0,1636675.398001,25900.517855999955,0.1054024421054069,0.0,True
INVEST,782,"Mountain-200 Black, 38",Bikes,Mountain Bikes,235372.4844,188.0,1251.9813,1601.924116,349.942816,1523.0,2439730.42932,532962.908768,2.2643382047251737,0.0,True
HOLD,796,"Road-250 Black, 58",Bikes,Road Bikes,230132.28919999997,148.0,1554.9479,1747.365454,192.4175540000001,396.0,691956.72,76197.35138400004,0.3311023917977002,0.0,True
EXIT,791,"Road-250 Red, 52",Bikes,Road Bikes,224780.3872,148.0,1518.7864,,,,,,,0.0,True
HOLD,957,"Touring-1000 Yellow, 60",Bikes,Touring Bikes,223772.6229,151.0,1481.9379,1389.234458,-92.703442,1054.0,1464253.119147,-97709.427868,-0.4366460320379075,0.0,True
INVEST,967,"Touring-1000 Blue, 50",Bikes,Touring Bikes,219326.8092,148.0,1481.9379,1653.730507,171.7926070000001,615.0,1017044.262,105652.45330500006,0.4817124440480852,0.0,True
HOLD,954,"Touring-1000 Yellow, 46",Bikes,Touring Bikes,219326.8092,148.0,1481.9379,1472.651985,-9.285914999999932,918.0,1351894.522524,-8524.469969999936,-0.038866520700744034,0.0,True
HOLD,793,"Road-250 Black, 44",Bikes,Road Bikes,208363.01859999998,134.0,1554.9479,1635.490924,80.54302400000006,692.0,1131759.72,55735.77260800004,0.2674935935488508,0.0,True
HOLD,955,"Touring-1000 Yellow, 50",Bikes,Touring Bikes,203025.49229999998,137.0,1481.9379,1537.72515,55.787250000000085,616.0,947238.6924,34364.946000000054,0.1692641924454531,0.0,True
HOLD,973,"Road-350-W Yellow, 40",Bikes,Road Bikes,200264.35,185.0,1082.51,1128.807719,46.297718999999915,1355.0,1529534.460475,62733.409244999886,0.313253004066874,0.0,True
INVEST,968,"Touring-1000 Blue, 54",Bikes,Touring Bikes,197097.7407,133.0,1481.9379,1804.650455,322.71255500000007,395.0,712836.93,127471.45922500003,0.6467423663623966,0.0,True
HOLD,969,"Touring-1000 Blue, 60",Bikes,Touring Bikes,191169.98909999998,129.0,1481.9379,1542.218378,60.28047800000013,1058.0,1631667.04428,63776.74572400014,0.33361274970120375,0.0,True
INVEST,783,"Mountain-200 Black, 42",Bikes,Mountain Bikes,185293.23239999998,148.0,1251.9813,1660.644591,408.6632910000001,1286.0,2135588.945061,525540.9922260001,2.8362665242489458,0.0,True
INVEST,781,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,177186.73,140.0,1265.6195,1734.544323,468.92482300000006,1038.0,1800457.007376,486743.96627400006,2.747067832190368,0.0,True
INVEST,779,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,173389.8715,137.0,1265.6195,1692.617517,426.9980169999999,1180.0,1997288.67096,503857.66005999985,2.9059232566534305,0.0,True
INVEST,784,"Mountain-200 Black, 46",Bikes,Mountain Bikes,171521.4381,137.0,1251.9813,1706.647558,454.66625799999997,1076.0,1836352.772428,489220.89360799995,2.852243422322378,0.0,True
HOLD,971,"Touring-2000 Blue, 50",Bikes,Touring Bikes,171419.2316,227.0,755.1508,887.232387,132.081587,310.0,275042.04,40945.291970000006,0.23886055017178134,0.0,True
HOLD,951,HL Crankset,Components,Cranksets,165969.7988,923.0,179.8156,242.723626,62.90802600000001,568.0,137867.019792,35731.75876800001,0.21529072774895724,0.0,True
HOLD,942,"ML Mountain Frame-W - Silver, 38",Components,Mountain Frames,164684.3282,826.0,199.3757,218.454,19.078300000000013,6.0,1310.724,114.46980000000008,0.0006950861763906451,0.0,True
INVEST,799,"Road-550-W Yellow, 42",Bikes,Road Bikes,161869.1146,227.0,713.0798,835.534715,122.45491500000003,626.0,523044.732,76656.77679000002,0.4735725958557879,0.0,True
INVEST,974,"Road-350-W Yellow, 42",Bikes,Road Bikes,160211.48,148.0,1082.51,1197.279359,114.76935900000012,863.0,1033252.087184,99045.9568170001,0.618220097692126,0.0,True
EXIT,758,"Road-450 Red, 52",Bikes,Road Bikes,145976.8695,165.0,884.7083,,,,,,,0.0,True
INVEST,975,"Road-350-W Yellow, 44",Bikes,Road Bikes,143973.83,133.0,1082.51,1300.836312,218.32631199999992,505.0,656922.338,110254.78755999995,0.7657974199894519,0.0,True
EXIT,814,"ML Mountain Frame - Black, 38",Components,Mountain Frames,142523.4031,767.0,185.8193,,,,,,,0.0,True
EXIT,786,"Mountain-300 Black, 40",Bikes,Mountain Bikes,133451.0942,223.0,598.4354,,,,,,,0.0,True
EXIT,754,"Road-450 Red, 58",Bikes,Road Bikes,130936.8284,148.0,884.7083,,,,,,,0.0,True
HOLD,953,"Touring-2000 Blue, 60",Bikes,Touring Bikes,124599.882,165.0,755.1508,774.582665,19.431865000000016,768.0,594879.48702,14923.672320000012,0.11977276447179952,0.0,True
EXIT,755,"Road-450 Red, 60",Bikes,Road Bikes,121205.0371,137.0,884.7083,,,,,,,0.0,True
EXIT,757,"Road-450 Red, 48",Bikes,Road Bikes,118550.9122,134.0,884.7083,,,,,,,0.0,True
EXIT,756,"Road-450 Red, 44",Bikes,Road Bikes,114127.3707,129.0,884.7083,,,,,,,0.0,True
EXIT,825,HL Mountain Rear Wheel,Components,Wheels,113756.9805,783.0,145.2835,,,,,,,0.0,True
EXIT,828,HL Road Rear Wheel,Components,Wheels,113510.77360000001,716.0,158.5346,,,,,,,0.0,True
INVEST,956,"Touring-1000 Yellow, 54",Bikes,Touring Bikes,111145.3425,75.0,1481.9379,1691.034947,209.0970470000002,389.0,657812.5944,81338.75128300008,0.7318232995953031,0.0,True
EXIT,817,HL Mountain Front Wheel,Components,Wheels,110768.5605,831.0,133.2955,,,,,,,0.0,True
HOLD,770,"Road-650 Black, 52",Bikes,Road Bikes,110482.3982,227.0,486.7066,563.7528,77.0462,5.0,2818.764,385.231,0.003486808815487859,0.0,True
HOLD,763,"Road-650 Red, 48",Bikes,Road Bikes,108535.57179999999,223.0,486.7066,563.7528,77.0462,2.0,1127.5056,154.0924,0.00141974098854842,0.0,True
INVEST,797,"Road-550-W Yellow, 38",Bikes,Road Bikes,105535.8104,148.0,713.0798,771.641264,58.561464,839.0,647407.020708,49133.068296,0.4655582603646733,0.0,True
HOLD,950,ML Crankset,Components,Cranksets,103062.848,905.0,113.8816,153.894,40.0124,52.0,8002.488,2080.6448,0.02018811667226584,0.0,True
EXIT,827,ML Road Rear Wheel,Components,Wheels,102340.7433,837.0,122.2709,,,,,,,0.0,True
HOLD,970,"Touring-2000 Blue, 46",Bikes,Touring Bikes,100435.0564,133.0,755.1508,817.388533,62.23773300000005,506.0,413598.59814,31492.292898000025,0.3135587714769285,0.0,True
EXIT,820,HL Road Front Wheel,Components,Wheels,99358.5948,678.0,146.5466,,,,,,,0.0,True
HOLD,944,"LL Mountain Frame - Silver, 40",Components,Mountain Frames,98612.97159999999,682.0,144.5938,158.205589,13.611789000000016,409.0,64706.08622,5567.221701000007,0.05645526760497711,0.0,True
HOLD,943,"LL Mountain Frame - Black, 40",Components,Mountain Frames,98348.415,719.0,136.785,149.874,13.088999999999999,7.0,1049.118,91.62299999999999,0.0009316164373365854,0.0,True
HOLD,972,"Touring-2000 Blue, 54",Bikes,Touring Bikes,97414.4532,129.0,755.1508,764.467774,9.31697399999996,947.0,723950.9823,8823.174377999962,0.09057356570985671,0.0,True
INVEST,801,"Road-550-W Yellow, 48",Bikes,Road Bikes,95552.6932,134.0,713.0798,767.445745,54.36594500000001,845.0,648491.655028,45939.22352500001,0.48077371748010567,0.0,True
INVEST,798,"Road-550-W Yellow, 40",Bikes,Road Bikes,94839.6134,133.0,713.0798,792.2666,79.18680000000006,710.0,562509.286192,56222.62800000004,0.5928179795806722,0.0,True
HOLD,959,"Touring-3000 Blue, 58",Bikes,Touring Bikes,94134.7392,204.0,461.4448,444.097806,-17.346993999999995,454.0,201620.404125,-7875.535275999998,-0.08366236888666069,0.0,True
INVEST,800,"Road-550-W Yellow, 44",Bikes,Road Bikes,91987.2942,129.0,713.0798,859.738289,146.65848900000003,483.0,415253.594,70836.05018700002,0.7700634180301829,0.0,True
EXIT,804,HL Fork,Components,Forks,91806.1336,901.0,101.8936,,,,,,,0.0,True
EXIT,767,"Road-650 Black, 62",Bikes,Road Bikes,91500.84079999999,188.0,486.7066,,,,,,,0.0,True
HOLD,964,"Touring-3000 Yellow, 58",Bikes,Touring Bikes,90904.6256,197.0,461.4448,451.963346,-9.481453999999985,273.0,123385.9935,-2588.4369419999957,-0.028474204969389322,0.0,True
HOLD,760,"Road-650 Red, 60",Bikes,Road Bikes,90040.72099999999,185.0,486.7066,563.7528,77.0462,11.0,6201.2808,847.5082,0.009412499040295336,0.0,True
HOLD,819,ML Road Front Wheel,Components,Wheels,87454.3397,793.0,110.2829,183.8049,73.522,2.0,367.6098,147.044,0.00168138025516417,0.0,True
HOLD,824,ML Mountain Rear Wheel,Components,Wheels,85093.62120000001,812.0,104.7951,174.6585,69.8634,4.0,698.634,279.4536,0.0032840722495894904,0.0,True
EXIT,787,"Mountain-300 Black, 44",Bikes,Mountain Bikes,83780.95599999999,140.0,598.4354,,,,,,,0.0,True
HOLD,785,"Mountain-300 Black, 38",Bikes,Mountain Bikes,81985.6498,137.0,598.4354,,,,,,,0.0,False
HOLD,829,Touring Rear Wheel,Components,Wheels,80609.24040000001,741.0,108.7844,,,,,,,0.0,False
HOLD,766,"Road-650 Black, 60",Bikes,Road Bikes,80306.58899999999,165.0,486.7066,,,,,,,0.0,False
HOLD,962,"Touring-3000 Yellow, 50",Bikes,Touring Bikes,80291.3952,174.0,461.4448,431.954906,-29.489893999999993,652.0,281634.598875,-19227.410887999995,-0.2394703796104915,0.0,False
HOLD,759,"Road-650 Red, 58",Bikes,Road Bikes,79333.1758,163.0,486.7066,,,,,,,0.0,False
HOLD,961,"Touring-3000 Yellow, 44",Bikes,Touring Bikes,77522.7264,168.0,461.4448,430.466354,-30.978445999999963,795.0,342220.751775,-24627.86456999997,-0.317685738281774,0.0,False
HOLD,788,"Mountain-300 Black, 48",Bikes,Mountain Bikes,76599.7312,128.0,598.4354,,,,,,,0.0,False
HOLD,816,ML Mountain Front Wheel,Components,Wheels,75916.2078,818.0,92.8071,,,,,,,0.0,False
HOLD,979,"Touring-3000 Blue, 50",Bikes,Touring Bikes,75676.9472,164.0,461.4448,422.822898,-38.62190199999998,774.0,327264.923265,-29893.352147999984,-0.39501265912586897,0.0,False
HOLD,958,"Touring-3000 Blue, 54",Bikes,Touring Bikes,75215.5024,163.0,461.4448,427.680226,-33.76457399999998,647.0,276709.106625,-21845.67937799999,-0.2904411814179412,0.0,False
HOLD,978,"Touring-3000 Blue, 44",Bikes,Touring Bikes,75215.5024,163.0,461.4448,465.360656,3.9158560000000193,268.0,124716.655875,1049.4494080000052,0.013952567948279837,0.0,False
HOLD,965,"Touring-3000 Yellow, 62",Bikes,Touring Bikes,75215.5024,163.0,461.4448,423.670313,-37.774486999999965,791.0,335123.21766,-29879.619216999974,-0.39725346854826,0.0,False
HOLD,963,"Touring-3000 Yellow, 54",Bikes,Touring Bikes,74754.0576,162.0,461.4448,446.284912,-15.159887999999967,420.0,187439.66325,-6367.152959999986,-0.08517468033735183,0.0,False
HOLD,960,"Touring-3000 Blue, 62",Bikes,Touring Bikes,73369.7232,159.0,461.4448,487.972309,26.52750900000001,272.0,132728.46825,7215.4824480000025,0.09834414160635682,0.0,False
HOLD,768,"Road-650 Black, 44",Bikes,Road Bikes,72032.5768,148.0,486.7066,,,,,,,0.0,False
HOLD,761,"Road-650 Red, 62",Bikes,Road Bikes,72032.5768,148.0,486.7066,563.7528,77.0462,8.0,4510.0224,616.3696,0.008556817309359395,0.0,False
HOLD,821,Touring Front Wheel,Components,Wheels,71242.1504,736.0,96.7964,,,,,,,0.0,False
HOLD,949,LL Crankset,Components,Cranksets,68957.076,885.0,77.9176,105.294,27.376400000000004,399.0,42012.306,10923.183600000002,0.15840555072259738,0.0,False
INVEST,983,"Mountain-400-W Silver, 46",Bikes,Mountain Bikes,68843.65759999999,164.0,419.7784,568.789725,149.011325,374.0,212727.357276,55730.23555,0.8095188067113971,0.0,False
HOLD,803,ML Fork,Components,Forks,68723.3232,882.0,77.9176,,,,,,,0.0,False
HOLD,764,"Road-650 Red, 52",Bikes,Road Bikes,68138.924,140.0,486.7066,,,,,,,0.0,False
HOLD,762,"Road-650 Red, 44",Bikes,Road Bikes,66678.8042,137.0,486.7066,563.7528,77.0462,10.0,5637.528,770.462,0.011554826293660498,0.0,False
INVEST,999,"Road-750 Black, 52",Bikes,Road Bikes,66668.0224,194.0,343.6496,388.544915,44.89531499999998,1226.0,476356.066428,55041.65618999998,0.825608053284628,0.0,False
HOLD,765,"Road-650 Black, 58",Bikes,Road Bikes,65218.6844,134.0,486.7066,563.7528,77.0462,6.0,3382.5168,462.2772,0.0070881098607380065,0.0,False
HOLD,769,"Road-650 Black, 48",Bikes,Road Bikes,64731.9778,133.0,486.7066,563.7528,77.0462,1.0,563.7528,77.0462,0.0011902339866402165,0.0,False
INVEST,982,"Mountain-400-W Silver, 42",Bikes,Mountain Bikes,64645.8736,154.0,419.7784,568.827414,149.049014,362.0,205915.524,53955.743068,0.8346355314471302,0.0,False
INVEST,981,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes,64226.095199999996,153.0,419.7784,525.89304,106.11464000000007,581.0,305543.856668,61652.60584000004,0.9599307827762825,0.0,False
INVEST,980,"Mountain-400-W Silver, 38",Bikes,Mountain Bikes,62966.759999999995,150.0,419.7784,572.842555,153.06415499999997,396.0,226845.652,60613.40537999999,0.9626254452349143,0.0,False
HOLD,988,"Mountain-500 Silver, 52",Bikes,Mountain Bikes,59794.2726,194.0,308.2179,309.820843,1.6029430000000389,471.0,145925.6172,754.9861530000182,0.012626395809688606,0.0,False
HOLD,802,LL Fork,Components,Forks,56793.771100000005,863.0,65.8097,,,,,,,0.0,False
INVEST,998,"Road-750 Black, 48",Bikes,Road Bikes,53265.688,155.0,343.6496,373.898551,30.248950999999977,1419.0,530562.044595,42923.26146899997,0.8058332311224435,0.0,False
INVEST,977,"Road-750 Black, 58",Bikes,Road Bikes,52578.3888,153.0,343.6496,406.389586,62.73998599999999,831.0,337709.746,52136.92836599999,0.9916037664128649,0.0,False
INVEST,997,"Road-750 Black, 44",Bikes,Road Bikes,52578.3888,153.0,343.6496,441.684128,98.03452799999997,624.0,275610.896,61173.545471999976,1.1634731848610769,0.0,False
HOLD,996,HL Bottom Bracket,Components,Bottom Brackets,52323.352,970.0,53.9416,72.894,18.952400000000004,509.0,37103.046,9646.771600000002,0.18436837915124402,0.0,False
HOLD,985,"Mountain-500 Silver, 42",Bikes,Mountain Bikes,50547.7356,164.0,308.2179,306.554382,-1.6635180000000105,418.0,128139.732,-695.3505240000044,-0.013756314021710686,0.0,False
INVEST,992,"Mountain-500 Black, 48",Bikes,Mountain Bikes,48311.0708,164.0,294.5797,352.969073,58.38937299999998,410.0,144717.32,23939.64292999999,0.4955312008940193,0.0,False
HOLD,987,"Mountain-500 Silver, 48",Bikes,Mountain Bikes,47773.7745,155.0,308.2179,310.049732,1.8318320000000199,431.0,133631.4348,789.5195920000085,0.01652621339350125,0.0,False
HOLD,984,"Mountain-500 Silver, 40",Bikes,Mountain Bikes,47465.556599999996,154.0,308.2179,319.198729,10.980829000000028,411.0,131190.678,4513.120719000011,0.09508201403878642,0.0,False
HOLD,986,"Mountain-500 Silver, 44",Bikes,Mountain Bikes,47157.3387,153.0,308.2179,318.30962,10.09172000000001,354.0,112681.6056,3572.468880000003,0.07575637172247812,0.0,False
HOLD,894,Rear Derailleur,Components,Derailleurs,45677.185399999995,847.0,53.9282,72.876,18.947800000000008,328.0,23903.328,6214.878400000002,0.1360608878497142,0.0,False
INVEST,991,"Mountain-500 Black, 44",Bikes,Mountain Bikes,45365.2738,154.0,294.5797,359.663064,65.08336400000002,327.0,117609.822,21282.260028000004,0.4691310829915018,0.0,False
INVEST,993,"Mountain-500 Black, 52",Bikes,Mountain Bikes,45070.6941,153.0,294.5797,357.096835,62.517134999999996,261.0,93202.274,16316.972235,0.3620306401050078,0.0,False
INVEST,990,"Mountain-500 Black, 42",Bikes,Mountain Bikes,45070.6941,153.0,294.5797,352.037679,57.45797900000002,362.0,127437.64,20799.788398000008,0.46149252442952743,0.0,False
HOLD,810,HL Mountain Handlebars,Components,Handlebars,44855.916000000005,840.0,53.3999,72.162,18.762100000000004,210.0,15154.02,3940.0410000000006,0.08783771130657549,0.0,False
INVEST,989,"Mountain-500 Black, 40",Bikes,Mountain Bikes,44186.955,150.0,294.5797,361.66772,67.08801999999997,258.0,93310.272,17308.70915999999,0.39171536395752976,0.0,False
HOLD,813,HL Road Handlebars,Components,Handlebars,43307.3189,811.0,53.3999,72.162,18.762100000000004,263.0,18978.606,4934.432300000001,0.11393991651605109,0.0,False
HOLD,807,HL Headset,Components,Headsets,43307.2382,782.0,55.3801,,,,,,,0.0,False
HOLD,826,LL Road Rear Wheel,Components,Wheels,39933.1411,799.0,49.9789,83.2981,33.3192,2.0,166.5962,66.6384,0.0016687492685117126,0.0,False
HOLD,995,ML Bottom Bracket,Components,Bottom Brackets,36679.6896,816.0,44.9506,,,,,,,0.0,False
HOLD,948,Front Brakes,Components,Brakes,36268.362,767.0,47.286,63.737532,16.451532,725.0,46209.711,11927.360700000001,0.32886405788052964,0.0,False
HOLD,806,ML Headset,Components,Headsets,35061.7696,772.0,45.4168,,,,,,,0.0,False
HOLD,945,Front Derailleur,Components,Derailleurs,34650.2248,853.0,40.6216,54.703546,14.081946000000002,759.0,41519.9918,10688.197014000001,0.30845967308125516,0.0,False
HOLD,907,Rear Brakes,Components,Brakes,34187.778,723.0,47.286,63.9,16.613999999999997,230.0,14697.0,3821.2199999999993,0.11177152255990429,0.0,False
HOLD,818,LL Road Front Wheel,Components,Wheels,33735.919200000004,888.0,37.9909,,,,,,,0.0,False
HOLD,940,HL Road Pedal,Components,Pedals,32579.3976,906.0,35.9596,48.594,12.6344,618.0,30031.092,7808.0592,0.23966247921048114,0.0,False
HOLD,947,HL Touring Handlebars,Components,Handlebars,32200.4232,792.0,40.6571,54.942,14.2849,194.0,10658.748,2771.2706000000003,0.08606317323183504,0.0,False
HOLD,941,Touring Pedal,Components,Pedals,31824.246000000003,885.0,35.9596,48.594,12.6344,128.0,6220.032,1617.2032,0.050816701203227246,0.0,False
HOLD,823,LL Mountain Rear Wheel,Components,Wheels,26530.942799999997,681.0,38.9588,,,,,,,0.0,False
HOLD,809,ML Mountain Handlebars,Components,Handlebars,23368.625,850.0,27.4925,37.074918,9.582417999999997,660.0,24469.446528,6324.395879999998,0.2706362004610882,0.0,False
HOLD,916,HL Touring Seat/Saddle,Components,Saddles,23115.1058,989.0,23.3722,31.584,8.2118,397.0,12538.848,3260.0846,0.14103697505031537,0.0,False
HOLD,812,ML Road Handlebars,Components,Handlebars,22598.835,822.0,27.4925,,,,,,,0.0,False
HOLD,994,LL Bottom Bracket,Components,Bottom Brackets,19512.8824,814.0,23.9716,32.394,8.4224,350.0,11337.9,2947.8399999999997,0.15107147880930188,0.0,False
HOLD,815,LL Mountain Front Wheel,Components,Wheels,19472.9176,722.0,26.9708,,,,,,,0.0,False
INVEST,937,HL Mountain Pedal,Components,Pedals,18087.6788,503.0,35.9596,48.464813,12.505212999999998,733.0,35524.708492,9166.321128999998,0.5067715559500093,0.0,False
HOLD,808,LL Mountain Handlebars,Components,Handlebars,16987.4122,859.0,19.7758,26.505542,6.729741999999998,401.0,10628.722728,2698.626541999999,0.15886036732540104,0.0,False
HOLD,811,LL Road Handlebars,Components,Handlebars,16433.6898,831.0,19.7758,26.724,6.9482,79.0,2111.196,548.9078,0.033401372831072904,0.0,False
HOLD,946,LL Touring Handlebars,Components,Handlebars,16412.128,802.0,20.464,27.654,7.190000000000001,47.0,1299.738,337.93000000000006,0.0205902610557266,0.0,False
HOLD,912,ML Road Seat/Saddle,Components,Saddles,15657.7582,901.0,17.3782,,,,,,,0.0,False
HOLD,936,ML Mountain Pedal,Components,Pedals,13976.976,507.0,27.568,37.254,9.685999999999996,312.0,11623.248,3022.031999999999,0.2162150095986427,0.0,False
INVEST,939,ML Road Pedal,Components,Pedals,13618.592,494.0,27.568,37.254,9.685999999999996,605.0,22538.67,5860.029999999998,0.43029631844466726,0.0,False
HOLD,881,"Short-Sleeve Classic Jersey, S",Clothing,Jerseys,13469.4252,324.0,41.5723,37.043503,-4.528796999999997,1769.0,65529.957575,-8011.441892999996,-0.5947872143051803,0.0,False
HOLD,805,LL Headset,Components,Headsets,11555.6328,761.0,15.1848,,,,,,,0.0,False
HOLD,913,HL Road Seat/Saddle,Components,Saddles,10914.8174,467.0,23.3722,31.584,8.2118,109.0,3442.656,895.0862000000001,0.08200652078705413,0.0,False
HOLD,911,LL Road Seat/Saddle,Components,Saddles,10909.4178,906.0,12.0413,16.272,4.230699999999999,9.0,146.448,38.07629999999999,0.003490222915470337,0.0,False
HOLD,852,"Women's Tights, S",Clothing,Tights,10022.4216,324.0,30.9334,48.7435,17.8101,16.0,779.896,284.9616,0.028432409987622153,0.0,False
HOLD,908,LL Mountain Seat/Saddle,Components,Saddles,9741.4117,809.0,12.0413,16.24099,4.19969,304.0,4937.261088,1276.70576,0.13105962455113154,0.0,False
HOLD,716,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,9700.0596,252.0,38.4923,36.362081,-2.1302189999999968,1257.0,45707.136744,-2677.6852829999957,-0.27604833304323156,0.0,False
HOLD,914,LL Touring Seat/Saddle,Components,Saddles,9645.0813,801.0,12.0413,16.272,4.230699999999999,74.0,1204.128,313.07179999999994,0.03245921835827345,0.0,False
HOLD,935,LL Mountain Pedal,Components,Pedals,9204.5312,512.0,17.9776,24.294,6.316400000000002,409.0,9936.246,2583.4076000000005,0.2806669393439614,0.0,False
INVEST,938,LL Road Pedal,Components,Pedals,8952.844799999999,498.0,17.9776,24.294,6.316400000000002,777.0,18876.438,4907.842800000001,0.5481880798380423,0.0,False
INVEST,879,All-Purpose Bike Stand,Accessories,Bike Stands,8563.104,144.0,59.466,159.0,99.53399999999999,245.0,38955.0,24385.829999999998,2.8477792632204397,0.0,False
HOLD,715,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,8314.336800000001,216.0,38.4923,32.227684,-6.264615999999997,2989.0,96328.550436,-18724.93722399999,-2.252126378137579,0.0,False
INVEST,910,HL Mountain Seat/Saddle,Components,Saddles,8297.131,355.0,23.3722,31.584,8.2118,486.0,15349.824,3990.9348,0.4810017824233461,0.0,False
INVEST,869,"Women's Mountain Shorts, L",Clothing,Shorts,7538.7744,288.0,26.1763,42.540858,16.364558,3020.0,128473.392036,49420.96516,6.555570247598867,0.0,False
INVEST,929,ML Mountain Tire,Accessories,Tires and Tubes,7503.7047,669.0,11.2163,29.99,18.773699999999998,1154.0,34608.46,21664.849799999996,2.887220468577341,0.0,False
INVEST,909,ML Mountain Seat/Saddle,Components,Saddles,7333.6004,422.0,17.3782,23.424858,6.046658000000001,481.0,11267.357048,2908.4424980000003,0.3965913520458519,0.0,False
HOLD,841,"Men's Sports Shorts, S",Clothing,Shorts,7126.8192,288.0,24.7459,,,,,,,0.0,False
HOLD,915,ML Touring Seat/Saddle,Components,Saddles,6986.0364,402.0,17.3782,23.484,6.105800000000002,70.0,1643.88,427.4060000000002,0.061180041947677254,0.0,False
HOLD,714,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,6928.614,180.0,38.4923,34.680516,-3.811784000000003,1793.0,62182.166079,-6834.528712000006,-0.9864207635177838,0.0,False
INVEST,868,"Women's Mountain Shorts, M",Clothing,Shorts,6596.4276,252.0,26.1763,50.94354,24.767239999999997,1098.0,55936.008,27194.429519999998,4.122599559798094,0.0,False
INVEST,930,HL Mountain Tire,Accessories,Tires and Tubes,6531.91,499.0,13.09,35.0,21.91,1369.0,47915.0,29994.79,4.592039694361986,0.0,False
